consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,5.169,5.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,5.17,13.191,1,[5.034999999999997],[5.034999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,13.191,23.726,1,[7.534999999999997],[7.534999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,23.73,31.767,Yes,3.82,Yes,6.36,Yes,7.004,No,5.214,1,[1.0570000000000022],[1.0570000000000022],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,31.767,35.778,1,[1.0180000000000007],[1.0180000000000007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.779,40.219,Any of These,3.648,1,[0.8070000000000022],[0.8070000000000022],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.219,44.218,1,[1.0060000000000002],[1.0060000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.219,59.771,1,[12.558000000000007],[12.558000000000007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,2026-01-12_14h41.19.539,explain2,2025.1.1,MacIntel,62.5,608b196b782adb7ce0e7fb87,69653ec67aeed6b1043c5c09,69654e2ff7cf2d2d0d53cd33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.772,75.386,1,[13.393],[13.393],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
