feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,3,low,color,feet,G,Y,F,C,10,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,1,2,10,high,color,feet,G,Y,F,C,10,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,1,3,9,high,color,feet,G,Y,F,C,10,9_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,1,4,4,low,color,feet,G,Y,F,C,10,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,2,5,8,high,color,feet,G,Y,F,C,10,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,2,6,5,low,color,feet,G,Y,F,C,10,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,2,7,3,low,color,feet,G,Y,F,C,10,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,2,8,5,high,color,feet,G,Y,F,C,10,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,3,9,3,low,color,feet,G,Y,F,C,10,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,3,10,2,low,color,feet,G,Y,F,C,10,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,3,11,4,high,color,feet,G,Y,F,C,10,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,3,12,9,high,color,feet,G,Y,F,C,10,9_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,4,13,6,high,color,feet,G,Y,F,C,10,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,4,14,7,high,color,feet,G,Y,F,C,10,7_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,4,15,5,low,color,feet,G,Y,F,C,10,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,4,16,2,low,color,feet,G,Y,F,C,10,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
