feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,3,low,color,feet,Y,G,F,C,28,3_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,1,2,4,low,color,feet,Y,G,F,C,28,4_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,1,3,9,high,color,feet,Y,G,F,C,28,9_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,1,4,6,high,color,feet,Y,G,F,C,28,6_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,2,5,10,high,color,feet,Y,G,F,C,28,10_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,2,6,5,low,color,feet,Y,G,F,C,28,5_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,2,7,6,high,color,feet,Y,G,F,C,28,6_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,2,8,5,low,color,feet,Y,G,F,C,28,5_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,3,9,7,high,color,feet,Y,G,F,C,28,7_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,3,10,1,low,color,feet,Y,G,F,C,28,1_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,3,11,3,low,color,feet,Y,G,F,C,28,3_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,3,12,7,high,color,feet,Y,G,F,C,28,7_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,4,13,5,high,color,feet,Y,G,F,C,28,5_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,4,14,9,high,color,feet,Y,G,F,C,28,9_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,4,15,5,low,color,feet,Y,G,F,C,28,5_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,4,16,6,low,color,feet,Y,G,F,C,28,6_food.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
