feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,2,low,color,feet,Y,G,C,F,40,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,1,2,9,high,color,feet,Y,G,C,F,40,9_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,1,3,5,high,color,feet,Y,G,C,F,40,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,1,4,8,low,color,feet,Y,G,C,F,40,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,2,5,5,low,color,feet,Y,G,C,F,40,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,2,6,5,low,color,feet,Y,G,C,F,40,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,2,7,8,high,color,feet,Y,G,C,F,40,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,2,8,10,high,color,feet,Y,G,C,F,40,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,3,9,7,low,color,feet,Y,G,C,F,40,7_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,10,high,color,feet,Y,G,C,F,40,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,3,11,8,high,color,feet,Y,G,C,F,40,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,3,12,1,low,color,feet,Y,G,C,F,40,1_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,4,13,4,low,color,feet,Y,G,C,F,40,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,4,14,7,high,color,feet,Y,G,C,F,40,7_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,4,15,8,high,color,feet,Y,G,C,F,40,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,4,16,5,low,color,feet,Y,G,C,F,40,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
