feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,8,high,color,feet,Y,G,C,F,36,8_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,1,2,2,low,color,feet,Y,G,C,F,36,2_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,1,3,7,high,color,feet,Y,G,C,F,36,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,1,4,6,low,color,feet,Y,G,C,F,36,6_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,2,5,6,high,color,feet,Y,G,C,F,36,6_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,2,6,5,high,color,feet,Y,G,C,F,36,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,2,7,5,low,color,feet,Y,G,C,F,36,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,2,8,5,low,color,feet,Y,G,C,F,36,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,3,9,5,high,color,feet,Y,G,C,F,36,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,3,10,4,low,color,feet,Y,G,C,F,36,4_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,3,11,2,low,color,feet,Y,G,C,F,36,2_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,3,12,9,high,color,feet,Y,G,C,F,36,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,4,13,9,high,color,feet,Y,G,C,F,36,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,4,14,2,low,color,feet,Y,G,C,F,36,2_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,4,15,3,low,color,feet,Y,G,C,F,36,3_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,4,16,9,high,color,feet,Y,G,C,F,36,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,high,high,low"
