feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,5,low,color,feet,Y,G,C,F,20,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,1,2,4,high,color,feet,Y,G,C,F,20,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,1,3,7,low,color,feet,Y,G,C,F,20,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,1,4,9,high,color,feet,Y,G,C,F,20,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,5,9,high,color,feet,Y,G,C,F,20,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,2,6,5,low,color,feet,Y,G,C,F,20,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,7,10,high,color,feet,Y,G,C,F,20,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,2,8,4,low,color,feet,Y,G,C,F,20,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,9,high,color,feet,Y,G,C,F,20,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,3,10,5,low,color,feet,Y,G,C,F,20,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,3,11,2,low,color,feet,Y,G,C,F,20,2_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,12,10,high,color,feet,Y,G,C,F,20,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,4,13,7,low,color,feet,Y,G,C,F,20,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,14,5,high,color,feet,Y,G,C,F,20,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,4,15,5,low,color,feet,Y,G,C,F,20,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,9,high,color,feet,Y,G,C,F,20,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
