feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,9,high,stripes,feet,E,W,C,F,4,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,1,2,2,low,stripes,feet,E,W,C,F,4,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,1,3,2,low,stripes,feet,E,W,C,F,4,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,1,4,8,high,stripes,feet,E,W,C,F,4,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,2,5,7,high,stripes,feet,E,W,C,F,4,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,2,6,1,low,stripes,feet,E,W,C,F,4,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,2,7,6,high,stripes,feet,E,W,C,F,4,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,2,8,2,low,stripes,feet,E,W,C,F,4,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,3,9,3,low,stripes,feet,E,W,C,F,4,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,3,10,9,high,stripes,feet,E,W,C,F,4,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,3,11,2,low,stripes,feet,E,W,C,F,4,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,3,12,10,high,stripes,feet,E,W,C,F,4,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,4,13,6,low,stripes,feet,E,W,C,F,4,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,4,14,8,high,stripes,feet,E,W,C,F,4,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,4,15,4,high,stripes,feet,E,W,C,F,4,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,4,16,1,low,stripes,feet,E,W,C,F,4,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
