feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,3,low,feet,stripes,C,F,E,W,29,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,1,2,1,low,feet,stripes,C,F,E,W,29,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,1,3,4,high,feet,stripes,C,F,E,W,29,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,1,4,7,high,feet,stripes,C,F,E,W,29,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,2,5,5,high,feet,stripes,C,F,E,W,29,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,2,6,4,low,feet,stripes,C,F,E,W,29,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,2,7,4,low,feet,stripes,C,F,E,W,29,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,2,8,5,high,feet,stripes,C,F,E,W,29,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,3,9,6,high,feet,stripes,C,F,E,W,29,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,3,10,8,high,feet,stripes,C,F,E,W,29,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,3,11,3,low,feet,stripes,C,F,E,W,29,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,3,12,3,low,feet,stripes,C,F,E,W,29,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,4,13,8,high,feet,stripes,C,F,E,W,29,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,4,14,1,high,feet,stripes,C,F,E,W,29,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,4,15,3,low,feet,stripes,C,F,E,W,29,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,4,16,2,low,feet,stripes,C,F,E,W,29,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
