feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,5,high,feet,stripes,F,C,E,W,199,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,1,2,2,low,feet,stripes,F,C,E,W,199,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,1,3,4,high,feet,stripes,F,C,E,W,199,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,1,4,5,low,feet,stripes,F,C,E,W,199,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,2,5,10,high,feet,stripes,F,C,E,W,199,10_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,2,6,9,high,feet,stripes,F,C,E,W,199,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,2,7,1,low,feet,stripes,F,C,E,W,199,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,2,8,3,low,feet,stripes,F,C,E,W,199,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,3,9,4,low,feet,stripes,F,C,E,W,199,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,3,10,9,high,feet,stripes,F,C,E,W,199,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,3,11,1,low,feet,stripes,F,C,E,W,199,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,3,12,7,high,feet,stripes,F,C,E,W,199,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,4,13,5,high,feet,stripes,F,C,E,W,199,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,4,14,8,high,feet,stripes,F,C,E,W,199,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,4,15,4,low,feet,stripes,F,C,E,W,199,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,4,16,4,low,feet,stripes,F,C,E,W,199,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,low,high,low"
