feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,7,high,stripes,feet,E,W,C,F,96,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,1,2,5,low,stripes,feet,E,W,C,F,96,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,1,3,10,high,stripes,feet,E,W,C,F,96,10_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,1,4,8,low,stripes,feet,E,W,C,F,96,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,2,5,1,low,stripes,feet,E,W,C,F,96,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,2,6,5,high,stripes,feet,E,W,C,F,96,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,2,7,6,low,stripes,feet,E,W,C,F,96,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,2,8,8,high,stripes,feet,E,W,C,F,96,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,3,9,9,high,stripes,feet,E,W,C,F,96,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,3,10,3,low,stripes,feet,E,W,C,F,96,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,3,11,5,low,stripes,feet,E,W,C,F,96,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,3,12,7,high,stripes,feet,E,W,C,F,96,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,4,13,5,high,stripes,feet,E,W,C,F,96,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,4,14,5,low,stripes,feet,E,W,C,F,96,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,4,15,9,high,stripes,feet,E,W,C,F,96,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,4,16,3,low,stripes,feet,E,W,C,F,96,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
