feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,3,low,feet,stripes,C,F,W,E,85,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,1,2,4,low,feet,stripes,C,F,W,E,85,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,1,3,4,high,feet,stripes,C,F,W,E,85,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,1,4,8,high,feet,stripes,C,F,W,E,85,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,2,5,1,low,feet,stripes,C,F,W,E,85,1_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,2,6,8,high,feet,stripes,C,F,W,E,85,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,2,7,9,high,feet,stripes,C,F,W,E,85,9_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,2,8,1,low,feet,stripes,C,F,W,E,85,1_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,3,9,5,low,feet,stripes,C,F,W,E,85,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,3,10,6,high,feet,stripes,C,F,W,E,85,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,3,11,9,high,feet,stripes,C,F,W,E,85,9_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,3,12,1,low,feet,stripes,C,F,W,E,85,1_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,4,13,3,low,feet,stripes,C,F,W,E,85,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,4,14,2,low,feet,stripes,C,F,W,E,85,2_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,4,15,7,high,feet,stripes,C,F,W,E,85,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,4,16,5,high,feet,stripes,C,F,W,E,85,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low"
