feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,10,high,feet,stripes,C,F,E,W,185,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,1,2,3,low,feet,stripes,C,F,E,W,185,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,1,3,8,high,feet,stripes,C,F,E,W,185,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,1,4,4,low,feet,stripes,C,F,E,W,185,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,2,5,6,low,feet,stripes,C,F,E,W,185,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,2,6,5,high,feet,stripes,C,F,E,W,185,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,2,7,6,high,feet,stripes,C,F,E,W,185,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,2,8,1,low,feet,stripes,C,F,E,W,185,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,3,9,6,high,feet,stripes,C,F,E,W,185,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,3,10,6,low,feet,stripes,C,F,E,W,185,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,3,11,9,high,feet,stripes,C,F,E,W,185,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,3,12,5,low,feet,stripes,C,F,E,W,185,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,4,13,7,high,feet,stripes,C,F,E,W,185,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,4,14,6,low,feet,stripes,C,F,E,W,185,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,4,15,5,low,feet,stripes,C,F,E,W,185,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,4,16,8,high,feet,stripes,C,F,E,W,185,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","low,high,high,low"
