feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,4,low,feet,stripes,F,C,E,W,111,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,E,E_F.png,training,1,2,8,high,feet,stripes,F,C,E,W,111,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,E,E_C.png,training,1,3,3,low,feet,stripes,F,C,E,W,111,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,W,W_F.png,training,1,4,7,high,feet,stripes,F,C,E,W,111,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,E,E_F.png,training,2,5,7,high,feet,stripes,F,C,E,W,111,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,E,E_C.png,training,2,6,6,low,feet,stripes,F,C,E,W,111,6_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,W,W_C.png,training,2,7,3,low,feet,stripes,F,C,E,W,111,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,W,W_F.png,training,2,8,5,high,feet,stripes,F,C,E,W,111,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,W,W_F.png,training,3,9,7,high,feet,stripes,F,C,E,W,111,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,E,E_C.png,training,3,10,1,low,feet,stripes,F,C,E,W,111,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,W,W_C.png,training,3,11,5,low,feet,stripes,F,C,E,W,111,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,E,E_F.png,training,3,12,8,high,feet,stripes,F,C,E,W,111,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,W,W_F.png,training,4,13,6,high,feet,stripes,F,C,E,W,111,6_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,W,W_C.png,training,4,14,1,low,feet,stripes,F,C,E,W,111,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
F,E,E_F.png,training,4,15,7,high,feet,stripes,F,C,E,W,111,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
C,E,E_C.png,training,4,16,3,low,feet,stripes,F,C,E,W,111,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","high,low,low,high"
