feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,1,low,stripes,feet,W,E,F,C,102,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,1,2,2,low,stripes,feet,W,E,F,C,102,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,1,3,7,high,stripes,feet,W,E,F,C,102,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,1,4,9,high,stripes,feet,W,E,F,C,102,9_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,2,5,8,high,stripes,feet,W,E,F,C,102,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,2,6,7,high,stripes,feet,W,E,F,C,102,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,2,7,1,low,stripes,feet,W,E,F,C,102,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,2,8,3,low,stripes,feet,W,E,F,C,102,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,3,9,6,high,stripes,feet,W,E,F,C,102,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,3,10,5,low,stripes,feet,W,E,F,C,102,5_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,3,11,7,high,stripes,feet,W,E,F,C,102,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,3,12,2,low,stripes,feet,W,E,F,C,102,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,4,13,6,low,stripes,feet,W,E,F,C,102,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,4,14,8,high,stripes,feet,W,E,F,C,102,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,4,15,4,high,stripes,feet,W,E,F,C,102,4_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,4,16,4,low,stripes,feet,W,E,F,C,102,4_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,low,high"
