feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,7,high,feet,stripes,C,F,E,W,133,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,1,2,3,low,feet,stripes,C,F,E,W,133,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,1,3,9,high,feet,stripes,C,F,E,W,133,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,1,4,5,low,feet,stripes,C,F,E,W,133,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,2,5,8,high,feet,stripes,C,F,E,W,133,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,2,6,7,low,feet,stripes,C,F,E,W,133,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,2,7,3,low,feet,stripes,C,F,E,W,133,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,2,8,10,high,feet,stripes,C,F,E,W,133,10_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,3,9,2,low,feet,stripes,C,F,E,W,133,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,3,10,9,high,feet,stripes,C,F,E,W,133,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,3,11,1,low,feet,stripes,C,F,E,W,133,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,3,12,10,high,feet,stripes,C,F,E,W,133,10_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,4,13,10,high,feet,stripes,C,F,E,W,133,10_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,4,14,2,low,feet,stripes,C,F,E,W,133,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,4,15,6,low,feet,stripes,C,F,E,W,133,6_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,4,16,6,high,feet,stripes,C,F,E,W,133,6_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low"
