feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,9,high,stripes,feet,E,W,F,C,280,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,1,2,2,low,stripes,feet,E,W,F,C,280,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,1,3,7,high,stripes,feet,E,W,F,C,280,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,1,4,4,low,stripes,feet,E,W,F,C,280,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,2,5,9,high,stripes,feet,E,W,F,C,280,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,2,6,3,low,stripes,feet,E,W,F,C,280,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,2,7,8,high,stripes,feet,E,W,F,C,280,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,2,8,7,low,stripes,feet,E,W,F,C,280,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,3,9,1,low,stripes,feet,E,W,F,C,280,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,3,10,7,high,stripes,feet,E,W,F,C,280,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,3,11,1,low,stripes,feet,E,W,F,C,280,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,3,12,4,high,stripes,feet,E,W,F,C,280,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,4,13,5,high,stripes,feet,E,W,F,C,280,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,4,14,4,low,stripes,feet,E,W,F,C,280,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,4,15,8,high,stripes,feet,E,W,F,C,280,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,4,16,3,low,stripes,feet,E,W,F,C,280,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
