feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,6,low,stripes,feet,W,E,C,F,170,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,1,2,4,low,stripes,feet,W,E,C,F,170,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,1,3,7,high,stripes,feet,W,E,C,F,170,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,1,4,8,high,stripes,feet,W,E,C,F,170,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,2,5,9,high,stripes,feet,W,E,C,F,170,9_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,2,6,10,high,stripes,feet,W,E,C,F,170,10_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,2,7,1,low,stripes,feet,W,E,C,F,170,1_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,2,8,4,low,stripes,feet,W,E,C,F,170,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,3,9,10,high,stripes,feet,W,E,C,F,170,10_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,3,10,3,low,stripes,feet,W,E,C,F,170,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,3,11,3,low,stripes,feet,W,E,C,F,170,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,3,12,8,high,stripes,feet,W,E,C,F,170,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,E,E_F.png,training,4,13,4,low,stripes,feet,W,E,C,F,170,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
F,W,W_F.png,training,4,14,5,high,stripes,feet,W,E,C,F,170,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,W,W_C.png,training,4,15,9,high,stripes,feet,W,E,C,F,170,9_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
C,E,E_C.png,training,4,16,3,low,stripes,feet,W,E,C,F,170,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,high,high,low"
