feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,9,high,stripes,feet,E,W,F,C,144,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,1,2,6,low,stripes,feet,E,W,F,C,144,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,1,3,1,low,stripes,feet,E,W,F,C,144,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,1,4,4,high,stripes,feet,E,W,F,C,144,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,2,5,10,high,stripes,feet,E,W,F,C,144,10_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,2,6,9,high,stripes,feet,E,W,F,C,144,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,2,7,6,low,stripes,feet,E,W,F,C,144,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,2,8,4,low,stripes,feet,E,W,F,C,144,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,3,9,9,high,stripes,feet,E,W,F,C,144,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,3,10,4,low,stripes,feet,E,W,F,C,144,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,3,11,4,low,stripes,feet,E,W,F,C,144,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,3,12,10,high,stripes,feet,E,W,F,C,144,10_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,4,13,2,low,stripes,feet,E,W,F,C,144,2_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,4,14,5,high,stripes,feet,E,W,F,C,144,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,4,15,4,low,stripes,feet,E,W,F,C,144,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,4,16,9,high,stripes,feet,E,W,F,C,144,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
