feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,6,high,stripes,feet,E,W,F,C,128,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,1,2,4,low,stripes,feet,E,W,F,C,128,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,1,3,6,high,stripes,feet,E,W,F,C,128,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,1,4,4,low,stripes,feet,E,W,F,C,128,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,2,5,5,low,stripes,feet,E,W,F,C,128,5_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,2,6,6,high,stripes,feet,E,W,F,C,128,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,2,7,10,high,stripes,feet,E,W,F,C,128,10_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,2,8,3,low,stripes,feet,E,W,F,C,128,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,3,9,5,high,stripes,feet,E,W,F,C,128,5_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,3,10,10,high,stripes,feet,E,W,F,C,128,10_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,3,11,4,low,stripes,feet,E,W,F,C,128,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,3,12,3,low,stripes,feet,E,W,F,C,128,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,4,13,3,low,stripes,feet,E,W,F,C,128,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,4,14,8,high,stripes,feet,E,W,F,C,128,8_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,4,15,4,low,stripes,feet,E,W,F,C,128,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,4,16,6,high,stripes,feet,E,W,F,C,128,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low"
