feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,8,high,stripes,feet,W,E,C,F,106,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,1,2,7,high,stripes,feet,W,E,C,F,106,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,1,3,2,low,stripes,feet,W,E,C,F,106,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,1,4,6,low,stripes,feet,W,E,C,F,106,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,2,5,6,low,stripes,feet,W,E,C,F,106,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,2,6,8,high,stripes,feet,W,E,C,F,106,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,2,7,7,high,stripes,feet,W,E,C,F,106,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,2,8,6,low,stripes,feet,W,E,C,F,106,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,3,9,2,low,stripes,feet,W,E,C,F,106,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,3,10,3,low,stripes,feet,W,E,C,F,106,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,3,11,9,high,stripes,feet,W,E,C,F,106,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,3,12,9,high,stripes,feet,W,E,C,F,106,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,4,13,10,high,stripes,feet,W,E,C,F,106,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,4,14,9,low,stripes,feet,W,E,C,F,106,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,4,15,1,low,stripes,feet,W,E,C,F,106,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,4,16,4,high,stripes,feet,W,E,C,F,106,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high"
