feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,5,high,stripes,feet,E,W,F,C,120,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,1,2,2,low,stripes,feet,E,W,F,C,120,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,1,3,6,high,stripes,feet,E,W,F,C,120,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,1,4,3,low,stripes,feet,E,W,F,C,120,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,2,5,6,high,stripes,feet,E,W,F,C,120,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,2,6,10,high,stripes,feet,E,W,F,C,120,10_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,2,7,4,low,stripes,feet,E,W,F,C,120,4_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,2,8,4,low,stripes,feet,E,W,F,C,120,4_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,3,9,3,low,stripes,feet,E,W,F,C,120,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,3,10,5,high,stripes,feet,E,W,F,C,120,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,3,11,3,low,stripes,feet,E,W,F,C,120,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,3,12,8,high,stripes,feet,E,W,F,C,120,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,E,E_F.png,training,4,13,9,high,stripes,feet,E,W,F,C,120,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
F,W,W_F.png,training,4,14,8,low,stripes,feet,E,W,F,C,120,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,W,W_C.png,training,4,15,1,low,stripes,feet,E,W,F,C,120,1_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
C,E,E_C.png,training,4,16,8,high,stripes,feet,E,W,F,C,120,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low"
