feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,low,feet,stripes,F,C,E,W,287,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,1,2,5,high,feet,stripes,F,C,E,W,287,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,1,3,4,high,feet,stripes,F,C,E,W,287,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,1,4,7,low,feet,stripes,F,C,E,W,287,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,2,5,2,low,feet,stripes,F,C,E,W,287,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,2,6,9,high,feet,stripes,F,C,E,W,287,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,2,7,9,high,feet,stripes,F,C,E,W,287,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,2,8,4,low,feet,stripes,F,C,E,W,287,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,3,9,4,low,feet,stripes,F,C,E,W,287,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,3,10,1,low,feet,stripes,F,C,E,W,287,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,3,11,4,high,feet,stripes,F,C,E,W,287,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,3,12,8,high,feet,stripes,F,C,E,W,287,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,4,13,10,high,feet,stripes,F,C,E,W,287,10_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,4,14,2,low,feet,stripes,F,C,E,W,287,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,4,15,2,low,feet,stripes,F,C,E,W,287,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,4,16,5,high,feet,stripes,F,C,E,W,287,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,low,high"
