feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,2,low,stripes,feet,W,E,F,C,34,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,1,2,3,low,stripes,feet,W,E,F,C,34,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,1,3,8,high,stripes,feet,W,E,F,C,34,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,1,4,6,high,stripes,feet,W,E,F,C,34,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,2,5,9,high,stripes,feet,W,E,F,C,34,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,2,6,6,low,stripes,feet,W,E,F,C,34,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,2,7,10,high,stripes,feet,W,E,F,C,34,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,2,8,3,low,stripes,feet,W,E,F,C,34,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,3,9,8,high,stripes,feet,W,E,F,C,34,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,3,10,5,high,stripes,feet,W,E,F,C,34,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,3,11,4,low,stripes,feet,W,E,F,C,34,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,3,12,3,low,stripes,feet,W,E,F,C,34,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,4,13,4,low,stripes,feet,W,E,F,C,34,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,4,14,3,low,stripes,feet,W,E,F,C,34,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,4,15,9,high,stripes,feet,W,E,F,C,34,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,4,16,10,high,stripes,feet,W,E,F,C,34,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,low,high,high"
