feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,4,low,stripes,feet,W,E,C,F,126,4_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,1,2,5,low,stripes,feet,W,E,C,F,126,5_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,1,3,7,high,stripes,feet,W,E,C,F,126,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,1,4,7,high,stripes,feet,W,E,C,F,126,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,2,5,9,high,stripes,feet,W,E,C,F,126,9_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,2,6,2,low,stripes,feet,W,E,C,F,126,2_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,2,7,1,low,stripes,feet,W,E,C,F,126,1_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,2,8,5,high,stripes,feet,W,E,C,F,126,5_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,3,9,6,low,stripes,feet,W,E,C,F,126,6_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,3,10,8,high,stripes,feet,W,E,C,F,126,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,3,11,8,high,stripes,feet,W,E,C,F,126,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,3,12,2,low,stripes,feet,W,E,C,F,126,2_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,E,E_C.png,training,4,13,5,low,stripes,feet,W,E,C,F,126,5_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,W,W_F.png,training,4,14,9,high,stripes,feet,W,E,C,F,126,9_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
C,W,W_C.png,training,4,15,10,high,stripes,feet,W,E,C,F,126,10_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
F,E,E_F.png,training,4,16,2,low,stripes,feet,W,E,C,F,126,2_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","high,high,low,low"
