feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,7,low,feet,stripes,C,F,E,W,277,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,1,2,1,low,feet,stripes,C,F,E,W,277,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,1,3,10,high,feet,stripes,C,F,E,W,277,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,1,4,5,high,feet,stripes,C,F,E,W,277,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,2,5,7,high,feet,stripes,C,F,E,W,277,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,2,6,5,low,feet,stripes,C,F,E,W,277,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,2,7,8,high,feet,stripes,C,F,E,W,277,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,2,8,7,low,feet,stripes,C,F,E,W,277,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,3,9,10,high,feet,stripes,C,F,E,W,277,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,3,10,9,high,feet,stripes,C,F,E,W,277,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,3,11,8,low,feet,stripes,C,F,E,W,277,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,3,12,4,low,feet,stripes,C,F,E,W,277,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,4,13,6,high,feet,stripes,C,F,E,W,277,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,4,14,3,low,feet,stripes,C,F,E,W,277,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,4,15,7,high,feet,stripes,C,F,E,W,277,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,4,16,1,low,feet,stripes,C,F,E,W,277,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high"
