feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,4,high,feet,stripes,C,F,W,E,125,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,1,2,3,low,feet,stripes,C,F,W,E,125,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,1,3,4,low,feet,stripes,C,F,W,E,125,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,1,4,5,high,feet,stripes,C,F,W,E,125,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,2,5,7,high,feet,stripes,C,F,W,E,125,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,2,6,4,low,feet,stripes,C,F,W,E,125,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,2,7,8,high,feet,stripes,C,F,W,E,125,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,2,8,4,low,feet,stripes,C,F,W,E,125,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,3,9,9,high,feet,stripes,C,F,W,E,125,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,3,10,5,low,feet,stripes,C,F,W,E,125,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,3,11,1,low,feet,stripes,C,F,W,E,125,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,3,12,10,high,feet,stripes,C,F,W,E,125,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,E,E_C.png,training,4,13,9,high,feet,stripes,C,F,W,E,125,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
C,W,W_C.png,training,4,14,6,high,feet,stripes,C,F,W,E,125,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,E,E_F.png,training,4,15,1,low,feet,stripes,C,F,W,E,125,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
F,W,W_F.png,training,4,16,6,low,feet,stripes,C,F,W,E,125,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high"
