wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,67,5_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
T,B,S,T_B_S.png,training,1,2,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,67,3_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
N,Y,C,N_Y_C.png,training,1,3,7,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,67,7_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
T,Y,C,T_Y_C.png,training,1,4,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,67,5_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
T,B,C,T_B_C.png,training,1,5,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,67,4_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
T,Y,S,T_Y_S.png,training,1,6,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,67,6_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
N,B,C,N_B_C.png,training,1,7,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,67,5_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
N,Y,S,N_Y_S.png,training,1,8,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,67,8_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
N,B,C,N_B_C.png,training,2,9,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,67,3_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
T,Y,S,T_Y_S.png,training,2,10,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,67,6_food.png,"Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,medium,medium,high,high,medium,low"
