wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,7,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,T,N,28,7_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
T,B,S,T_B_S.png,training,1,2,7,high,tail,color,wing,S,C,B,Y,I2,H2,H1,T,N,28,7_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,3,3,low,tail,color,wing,S,C,B,Y,I1,L2,L1,T,N,28,3_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,4,6,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,T,N,28,6_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
N,B,C,N_B_C.png,training,1,5,5,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,T,N,28,5_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,6,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,T,N,28,3_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,7,6,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,T,N,28,6_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
N,B,S,N_B_S.png,training,1,8,9,high,tail,color,wing,S,C,B,Y,I1,H2,H1,T,N,28,9_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
T,B,S,T_B_S.png,training,2,9,7,high,tail,color,wing,S,C,B,Y,I2,H2,H1,T,N,28,7_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
N,B,C,N_B_C.png,training,2,10,4,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,T,N,28,4_food.png,"Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","high,medium,low,high,medium,medium,low,medium"
