wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,2,14,9,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,375,9_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,C,N_Y_C.png,training,2,15,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,375,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,C,N_B_C.png,training,2,16,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,375,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,Y,C,T_Y_C.png,training,3,17,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,375,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,C,N_Y_C.png,training,3,18,7,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,375,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,S,N_Y_S.png,training,3,19,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,375,8_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,B,C,T_B_C.png,training,3,20,1,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,375,1_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,C,N_B_C.png,training,3,21,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,375,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,B,S,T_B_S.png,training,3,22,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,375,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,Y,S,T_Y_S.png,training,3,23,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,375,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,S,N_B_S.png,training,3,24,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,375,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,medium,high,low,high,medium,medium,low"
