wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,Y,C,T_Y_C.png,training,1,1,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,295,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,1,2,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,295,8_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,1,3,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,295,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,1,4,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,295,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,1,5,9,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,295,9_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,1,6,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,1,7,2,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,295,2_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,1,8,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,2,9,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,295,7_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,2,10,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,2,11,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,295,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,2,12,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,295,3_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,2,13,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,295,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,2,14,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,295,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,2,15,1,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,295,1_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,2,16,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,3,17,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,295,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,3,18,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,295,3_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,3,19,5,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,295,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,3,20,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,295,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,3,21,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,3,22,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,3,23,4,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,295,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,3,24,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,295,7_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","low,high,medium,medium,low,medium,high,medium"
