wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,163,4_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
N,Y,S,N_Y_S.png,training,1,2,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,163,8_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
N,B,S,N_B_S.png,training,1,3,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,163,4_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,4,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,163,5_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
T,B,C,T_B_C.png,training,1,5,1,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,163,1_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
N,B,C,N_B_C.png,training,1,6,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,163,6_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
N,Y,C,N_Y_C.png,training,1,7,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,163,8_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,8,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,163,6_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
T,B,C,T_B_C.png,training,2,9,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,163,3_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
N,Y,C,N_Y_C.png,training,2,10,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,163,7_food.png,"Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","low,medium,medium,high,low,high,medium,medium"
