wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,4,low,tail,color,wing,S,C,B,Y,I1,L2,L1,T,N,286,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
N,B,C,N_B_C.png,training,1,2,6,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,T,N,286,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,B,C,T_B_C.png,training,1,3,8,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,T,N,286,8_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,Y,C,T_Y_C.png,training,1,4,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,T,N,286,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
N,Y,S,N_Y_S.png,training,1,5,2,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,T,N,286,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
N,B,S,N_B_S.png,training,1,6,6,high,tail,color,wing,S,C,B,Y,I1,H2,H1,T,N,286,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,Y,S,T_Y_S.png,training,1,7,2,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,T,N,286,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,B,S,T_B_S.png,training,1,8,7,high,tail,color,wing,S,C,B,Y,I2,H2,H1,T,N,286,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,B,C,T_B_C.png,training,2,9,5,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,T,N,286,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,B,S,T_B_S.png,training,2,10,9,high,tail,color,wing,S,C,B,Y,I2,H2,H1,T,N,286,9_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
T,Y,C,T_Y_C.png,training,2,11,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,T,N,286,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
N,B,C,N_B_C.png,training,2,12,2,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,T,N,286,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,high,medium,low,low,medium,medium"
