feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,7,high,color,feet,Y,G,C,F,156,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,1,2,1,low,color,feet,Y,G,C,F,156,1_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,1,3,1,low,color,feet,Y,G,C,F,156,1_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,1,4,6,high,color,feet,Y,G,C,F,156,6_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,2,5,9,high,color,feet,Y,G,C,F,156,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,2,6,5,low,color,feet,Y,G,C,F,156,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,2,7,6,high,color,feet,Y,G,C,F,156,6_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,2,8,3,low,color,feet,Y,G,C,F,156,3_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,3,9,9,high,color,feet,Y,G,C,F,156,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,3,10,3,low,color,feet,Y,G,C,F,156,3_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,3,11,9,high,color,feet,Y,G,C,F,156,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,3,12,5,low,color,feet,Y,G,C,F,156,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,G,G_F.png,training,4,13,1,low,color,feet,Y,G,C,F,156,1_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,Y,Y_C.png,training,4,14,8,high,color,feet,Y,G,C,F,156,8_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
F,Y,Y_F.png,training,4,15,7,high,color,feet,Y,G,C,F,156,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
C,G,G_C.png,training,4,16,5,low,color,feet,Y,G,C,F,156,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,high,low"
