feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,5,low,color,feet,Y,G,C,F,200,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,1,2,5,low,color,feet,Y,G,C,F,200,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,3,10,high,color,feet,Y,G,C,F,200,10_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,1,4,9,high,color,feet,Y,G,C,F,200,9_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,5,5,high,color,feet,Y,G,C,F,200,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,6,8,high,color,feet,Y,G,C,F,200,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,2,7,3,low,color,feet,Y,G,C,F,200,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,2,8,6,low,color,feet,Y,G,C,F,200,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,3,9,7,low,color,feet,Y,G,C,F,200,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,3,10,6,low,color,feet,Y,G,C,F,200,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,11,6,high,color,feet,Y,G,C,F,200,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,12,8,high,color,feet,Y,G,C,F,200,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,4,13,4,low,color,feet,Y,G,C,F,200,4_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,14,6,high,color,feet,Y,G,C,F,200,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,15,8,high,color,feet,Y,G,C,F,200,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,4,16,5,low,color,feet,Y,G,C,F,200,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
