feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,7,high,color,feet,Y,G,C,F,216,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,1,2,10,high,color,feet,Y,G,C,F,216,10_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,1,3,5,low,color,feet,Y,G,C,F,216,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,1,4,4,low,color,feet,Y,G,C,F,216,4_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,5,7,high,color,feet,Y,G,C,F,216,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,2,6,7,low,color,feet,Y,G,C,F,216,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,7,8,high,color,feet,Y,G,C,F,216,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,2,8,5,low,color,feet,Y,G,C,F,216,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,9,high,color,feet,Y,G,C,F,216,9_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,10,6,high,color,feet,Y,G,C,F,216,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,3,11,6,low,color,feet,Y,G,C,F,216,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,3,12,1,low,color,feet,Y,G,C,F,216,1_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,4,13,3,low,color,feet,Y,G,C,F,216,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,14,6,high,color,feet,Y,G,C,F,216,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,4,15,6,low,color,feet,Y,G,C,F,216,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,4,high,color,feet,Y,G,C,F,216,4_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
